filename,pdb_id,extracted_plddt
HEL-data-1.pdb,HEL-data-1,80.96343341404359
HEL-data-10.pdb,HEL-data-10,79.7772971675468
HEL-data-11.pdb,HEL-data-11,78.8032694151486
HEL-data-12.pdb,HEL-data-12,80.39851475568456
HEL-data-13.pdb,HEL-data-13,79.06257281553398
HEL-data-14.pdb,HEL-data-14,79.88377703027392
HEL-data-15.pdb,HEL-data-15,80.99865048543688
HEL-data-16.pdb,HEL-data-16,90.90899232245681
HEL-data-17.pdb,HEL-data-17,78.84365912373616
HEL-data-18.pdb,HEL-data-18,79.80411736411737
HEL-data-19.pdb,HEL-data-19,78.31124880382775
HEL-data-2.pdb,HEL-data-2,81.35368989205104
HEL-data-20.pdb,HEL-data-20,81.13725143403443
HEL-data-21.pdb,HEL-data-21,78.97458772770852
HEL-data-22.pdb,HEL-data-22,80.30840558766859
HEL-data-23.pdb,HEL-data-23,79.31727448142789
HEL-data-24.pdb,HEL-data-24,82.74695568400772
HEL-data-25.pdb,HEL-data-25,79.23357590361445
HEL-data-26.pdb,HEL-data-26,81.45602490421456
HEL-data-27.pdb,HEL-data-27,80.49951348747591
HEL-data-28.pdb,HEL-data-28,80.69017374517374
HEL-data-29.pdb,HEL-data-29,79.99967695274832
HEL-data-3.pdb,HEL-data-3,79.52839285714286
HEL-data-30.pdb,HEL-data-30,79.76556463238826
HEL-data-31.pdb,HEL-data-31,79.69678088803087
HEL-data-32.pdb,HEL-data-32,80.12494027711419
HEL-data-33.pdb,HEL-data-33,79.2641859344894
HEL-data-34.pdb,HEL-data-34,80.80454066985645
HEL-data-35.pdb,HEL-data-35,80.8018978805395
HEL-data-36.pdb,HEL-data-36,84.0373885960709
HEL-data-37.pdb,HEL-data-37,82.0417691940868
HEL-data-38.pdb,HEL-data-38,80.36600287907869
HEL-data-4.pdb,HEL-data-4,87.0360687960688
HEL-data-5.pdb,HEL-data-5,82.47740722414648
HEL-data-6.pdb,HEL-data-6,81.85543928923988
HEL-data-7.pdb,HEL-data-7,81.44874095513748
HEL-data-8.pdb,HEL-data-8,82.94397022332505
HEL-data-9.pdb,HEL-data-9,79.20964251207731
HER2-data-wt.pdb,HER2-data-wt,85.14894501771138
PD1-data-1.pdb,PD1-data-1,84.2678109090909
PD1-data-10.pdb,PD1-data-10,84.50653678077204
PD1-data-11.pdb,PD1-data-11,84.28133795114839
PD1-data-12.pdb,PD1-data-12,83.62503294289897
PD1-data-13.pdb,PD1-data-13,84.11810216256525
PD1-data-14.pdb,PD1-data-14,84.97595530726257
PD1-data-15.pdb,PD1-data-15,89.6642032762472
PD1-data-2.pdb,PD1-data-2,84.40260805860805
PD1-data-3.pdb,PD1-data-3,83.66053820097854
PD1-data-4.pdb,PD1-data-4,85.06403783193889
PD1-data-5.pdb,PD1-data-5,81.79252427184467
PD1-data-6.pdb,PD1-data-6,85.4488021978022
PD1-data-7.pdb,PD1-data-7,89.44153417533433
PD1-data-8.pdb,PD1-data-8,84.82302801724138
PD1-data-9.pdb,PD1-data-9,91.39653343294734
PDL1-data-1.pdb,PDL1-data-1,93.04422246220304
PDL1-data-10.pdb,PDL1-data-10,93.16262806236081
PDL1-data-11.pdb,PDL1-data-11,87.14191387559809
PDL1-data-12.pdb,PDL1-data-12,85.311645021645
PDL1-data-13.pdb,PDL1-data-13,87.1918983957219
PDL1-data-14.pdb,PDL1-data-14,94.40268921095007
PDL1-data-15.pdb,PDL1-data-15,82.94925404277515
PDL1-data-16.pdb,PDL1-data-16,93.45645454545455
PDL1-data-2.pdb,PDL1-data-2,90.50833423765599
PDL1-data-3.pdb,PDL1-data-3,92.29159127195317
PDL1-data-4.pdb,PDL1-data-4,84.4819102296451
PDL1-data-5.pdb,PDL1-data-5,86.83373305526591
PDL1-data-6.pdb,PDL1-data-6,84.44560846560847
PDL1-data-7.pdb,PDL1-data-7,83.82764324324324
PDL1-data-8.pdb,PDL1-data-8,83.99204414083026
PDL1-data-9.pdb,PDL1-data-9,92.57666844634277
